,e
0,0.0
1,0.34370497855787163
2,83.11479366651824
3,229.50760663859933
4,425.7705847765217
5,663.8482156352947
6,935.071264686497
7,1234.5636795828036
8,1547.0333194294249
9,1867.9659100773565
10,2195.5084463065186
11,2523.6678845433485
12,2842.7444512561306
13,3144.0874171465052
14,3420.267282432191
15,3639.30562048214
16,3794.5790539599066
17,3883.224081151249
18,3915.406473998162
19,3926.64753139327
20,3931.7605129534836
21,3933.357172911855
22,3934.0230233573343
23,3934.292759427222
24,3934.34947623037
25,3934.37148575189
26,3934.379337816013
27,3934.383657395182
28,3934.384860186545
29,3934.385140203899
30,3934.385308860815
31,3934.3853483138987
32,3934.3853623257646
33,3934.3853704890744
34,3934.385372101324
35,3934.3853725036943
36,3934.3853726967604
37,3934.3853727889637
38,3934.3853728107
39,3934.38537281894
40,3934.3853728217064
41,3934.3853728229747
42,3934.385372823275
43,3934.3853728233807
44,3934.3853728234403
45,3934.3853728234485
46,3934.3853728234517
47,3934.385372823454
48,3934.385372823454
49,3934.385372823455
50,3934.385372823455
51,3934.385372823455
52,3934.385372823455
53,3934.385372823455
54,3934.385372823455
55,3934.385372823455
56,3934.385372823455
57,3934.385372823455
58,3934.385372823455
59,3934.385372823455
60,3934.385372823455
61,3934.385372823455
62,3934.385372823455
63,3934.385372823455
64,3934.385372823455
65,3934.385372823455
66,3934.385372823455
67,3934.385372823455
68,3934.385372823455
69,3934.385372823455
70,3934.385372823455
71,3934.385372823455
72,3934.385372823455
73,3934.385372823455
74,3934.385372823455
75,3934.385372823455
76,3934.385372823455
77,3934.385372823455
78,3934.385372823455
79,3934.385372823455
